"Time / s","Step1"
0,0
0.001,0
0.002,0
0.0030000000000000001,0
0.0040000000000000001,0
0.0050000000000000001,0
0.0060000000000000001,0
0.0070000000000000001,0
0.0080000000000000002,0
0.0090000000000000011,0
0.01,50
0.011000000000000001,50
0.012,50
0.013000000000000001,50
0.014,50
0.015000000000000001,50
0.016,50
0.017000000000000001,50
0.018000000000000002,50
0.019,50
0.02,50
0.021000000000000001,50
0.022000000000000002,50
0.023,50
0.024,50
0.025000000000000001,50
0.026000000000000002,50
0.027,50
0.028000000000000001,50
0.029000000000000001,50
0.030000000000000002,50
0.031,50
0.032000000000000001,50
0.033000000000000002,50
0.034000000000000002,50
0.035000000000000003,50
0.036000000000000004,50
0.037000000000000005,50
0.037999999999999999,50
0.039,50
0.040000000000000001,50
0.041000000000000002,50
0.042000000000000003,50
0.043000000000000003,50
0.044000000000000004,50
0.045000000000000005,50
0.045999999999999999,50
0.047,50
0.048000000000000001,50
0.049000000000000002,50
0.050000000000000003,50
0.051000000000000004,50
0.052000000000000005,50
0.053000000000000005,50
0.053999999999999999,50
0.055,50
0.056000000000000001,50
0.057000000000000002,50
0.058000000000000003,50
0.059000000000000004,50
0.060000000000000005,50
0.061000000000000006,50
0.062,50
0.063,50
0.064000000000000001,50
0.065000000000000002,50
0.066000000000000003,50
0.067000000000000004,50
0.068000000000000005,50
0.069000000000000006,50
0.070000000000000007,50
0.071000000000000008,50
0.072000000000000008,50
0.073000000000000009,50
0.07400000000000001,50
0.074999999999999997,50
0.075999999999999998,50
0.076999999999999999,50
0.078,50
0.079000000000000001,50
0.080000000000000002,50
0.081000000000000003,50
0.082000000000000003,50
0.083000000000000004,50
0.084000000000000005,50
0.085000000000000006,50
0.086000000000000007,50
0.087000000000000008,50
0.088000000000000009,50
0.08900000000000001,50
0.090000000000000011,50
0.090999999999999998,50
0.091999999999999998,50
0.092999999999999999,50
0.094,50
0.095000000000000001,50
0.096000000000000002,50
0.097000000000000003,50
0.098000000000000004,50
0.099000000000000005,50
0.10000000000000001,50
0.10100000000000001,50
0.10200000000000001,50
0.10300000000000001,50
0.10400000000000001,50
0.10500000000000001,50
0.10600000000000001,50
0.10700000000000001,50
0.108,50
0.109,50
0.11,50
0.111,50
0.112,50
0.113,50
0.114,50
0.115,50
0.11600000000000001,50
0.11700000000000001,50
0.11800000000000001,50
0.11900000000000001,50
0.12000000000000001,50
0.12100000000000001,50
0.12200000000000001,50
0.12300000000000001,50
0.124,50
0.125,50
0.126,50
0.127,50
0.128,50
0.129,50
0.13,50
0.13100000000000001,50
0.13200000000000001,50
0.13300000000000001,50
0.13400000000000001,50
0.13500000000000001,50
0.13600000000000001,50
0.13700000000000001,50
0.13800000000000001,50
0.13900000000000001,50
0.14000000000000001,50
0.14100000000000001,50
0.14200000000000002,50
0.14300000000000002,50
0.14400000000000002,50
0.14500000000000002,50
0.14600000000000002,50
0.14700000000000002,50
0.14800000000000002,50
0.14899999999999999,50
0.14999999999999999,50
